{'5_flow_ch': '0.0', 'Number': 32782, '2_flow_ch': '0.45', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.53', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.53'}
{'5_flow_ch': '0.0', 'Number': 32783, '2_flow_ch': '0.71', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.26', '3_flow_ch': '0.75', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.71'}
{'5_flow_ch': '0.0', 'Number': 32784, '2_flow_ch': '0.26', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.26', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.45'}
{'5_flow_ch': '0.0', 'Number': 32785, '2_flow_ch': '0.71', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.60', '3_flow_ch': '1.06', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.41'}
{'5_flow_ch': '0.0', 'Number': 32786, '2_flow_ch': '0.53', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.34', '3_flow_ch': '0.75', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.45'}
{'5_flow_ch': '0.0', 'Number': 32787, '2_flow_ch': '0.26', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.45', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.64'}
{'5_flow_ch': '0.0', 'Number': 32788, '2_flow_ch': '0.34', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.53', '3_flow_ch': '0.83', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.45'}
{'5_flow_ch': '0.0', 'Number': 32789, '2_flow_ch': '0.15', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.41', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.64'}
{'5_flow_ch': '0.0', 'Number': 32790, '2_flow_ch': '0.22', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.53', '3_flow_ch': '0.71', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.53'}
{'5_flow_ch': '0.0', 'Number': 32791, '2_flow_ch': '0.34', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.15', '3_flow_ch': '0.64', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.75'}
{'5_flow_ch': '0.0', 'Number': 32792, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.03', '3_flow_ch': '0.34', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.41'}
{'5_flow_ch': '0.0', 'Number': 32793, '2_flow_ch': '0.26', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.56', '3_flow_ch': '0.83', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.64'}
{'5_flow_ch': '0.0', 'Number': 32794, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.18', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.49'}
{'5_flow_ch': '0.0', 'Number': 32795, '2_flow_ch': '0.26', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.64', '3_flow_ch': '0.87', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.71'}
{'5_flow_ch': '0.0', 'Number': 32796, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.03', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.49'}
{'5_flow_ch': '0.0', 'Number': 32797, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.68', '3_flow_ch': '0.68', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.37'}
{'5_flow_ch': '0.0', 'Number': 32798, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.37', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.64'}
{'5_flow_ch': '0.0', 'Number': 32799, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.64', '3_flow_ch': '0.64', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.41'}
